url,status_code,content_type,lang,title,h1,canonical,canonical_status,meta_robots,description,og_title,inlinks_count
"https://devlo.ch/","200","text/html; charset=UTF-8","fr-FR","Agence de prospection commerciale B2B: Démarchage de Nouveaux Prospects Qualifiés - devlo","Votre Agence B2B de prospection commerciale pour vos ventes: Télémarketing & Lead Generation","https://devlo.ch/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","🎯 Agence B2B spécialisée en prospection commerciale et télémarketing. Générez des rendez-vous qualifiés avec vos prospects. +1'000 campagnes réussies. Consultation gratuite.","Démarchage de Prospects B2B Qualifiés: Votre Partenaire de Confiance pour la Prospection Commerciale","40"
"https://devlo.ch/telephone","301","text/html; charset=UTF-8","","","","","missing","","","","38"
"https://devlo.ch/academy-notre-appel/","200","text/html; charset=UTF-8","fr-FR","Commerciaux B2B: formation prospection commerciale LinkedIn, emails et appels: notre rendez-vous","Parcourons vos besoins pour atteindre vos objectifs de croissance.","https://devlo.ch/academy-notre-appel/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Notre rendez-vous pour la formation de commerciaux: prospection commerciale B2B via LinkedIn, email et appel (sans engagement et gratuit).","Formation en ligne pour Commerciaux B2B: notre rendez-vous","40"
"https://devlo.ch/formation-prospection-b2b/","200","text/html; charset=UTF-8","fr-FR","Formation accélérée pour Commerciaux B2B [2024]: génération de prospects et prospection","Augmentez vos ventes B2B","https://devlo.ch/formation-prospection-b2b/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Formez vos commerciaux B2B, SDRs et BDRs aux dernières techniques de développement commercial: génération de prospects, campagnes, démarchage, télémarketing","Formation pour vos commerciaux B2B: prospection commerciale","40"
"https://devlo.ch/en/","200","text/html; charset=UTF-8","en-US","B2B cold outreach agency: prospecting new qualified leads - devlo","Your B2B sales prospecting agency for your sales: Telemarketing & Lead generation","https://devlo.ch/en/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","B2B agency specializing in sales prospecting and telemarketing. Generate qualified appointments with your prospects. Over 1,000 successful campaigns. Free consultation.","Delegate your B2B Sales development and meet more qualified sales leads: lead generation, outreach, qualification, etc.","39"
"https://devlo.ch/de/","200","text/html; charset=UTF-8","de-DE","B2B-Agentur für Kaltakquise: Suche nach neuen qualifizierten Leads – devlo","Ihre B2B-Agentur für die Akquise von Neukunden für Ihren Vertrieb: Telemarketing & Lead-Generierung","https://devlo.ch/de/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","B2B-Agentur, spezialisiert auf Akquise und Telemarketing. Generieren Sie qualifizierte Termine mit Ihren potenziellen Kunden. Über 1.000 erfolgreiche Kampagnen. Kostenlose Beratung.","Akquise von qualifizierten B2B-Leads: Ihr vertrauenswürdiger Partner für die Kundengewinnung.","39"
"https://devlo.ch/resultats-cas-etudes/","200","text/html; charset=UTF-8","fr-FR","Résultats & études de cas: notre agence de prospection aide ces entreprises B2B","RÉSULTATS & ÉTUDES DE CAS","https://devlo.ch/resultats-cas-etudes/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Découvrez les résultats et études de cas de ces campagnes de prospection commerciale. Ces entreprises B2B rencontrent des prospects qualifiés grâce à notre agence.","Résultats & études de cas: notre agence de prospection aide ces entreprises B2B","40"
"https://devlo.ch/blog-list/","200","text/html; charset=UTF-8","fr-FR","devlo Blog - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Améliorer votre acquisition client B2B.","https://devlo.ch/blog-list/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Découvrez le blog devlo pour des conseils sur le développement commercial, la génération de prospects et les tendances télémarketing.","Blog list","38"
"https://devlo.ch/telephone/","200","text/html; charset=UTF-8","fr-FR","Entreprise de prospection commerciale B2B: Génération de rendez-vous","Définissons les attributs du profil de votre client idéal (ICP), ou Buyer Persona.","https://devlo.ch/telephone/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Rencontre gratuite et sans engagement pour discuter de votre stratégie de prospection commerciale B2B pour obtenir des prospects qualifiés.","Notre appel","40"
"https://devlo.ch/resultats/biocarburants-52-rendez-vous/","200","text/html; charset=UTF-8","fr-FR","Comment identifier les meilleurs prospects parmi plusieurs Ideal Customer Profiles (ICP) grâce à des campagnes de prospection commerciale? - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Comment identifier les meilleurs prospects parmi plusieurs Ideal Customer Profiles (ICP) grâce à des campagnes de prospection commerciale?","https://devlo.ch/resultats/biocarburants-52-rendez-vous/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","Campagnes de prospection B2B (multicanales & personnalisées): Comment identifier les meilleurs prospects parmi plusieurs ICP via notre méthodologie.","Comment identifier les meilleurs prospects parmi plusieurs Ideal Customer Profiles (ICP) grâce à des campagnes de prospection commerciale?","5"
